"","choice","avg","count","n","score"
"1","TRY",1878.77980100655,4,16,469.694950251637
"2","ETH",516.373629335709,70,152,237.803645088813
"3","YFI",307.805762113769,3,4,230.854321585327
"4","DOT",247.70714814631,4,6,165.138098764207
"5","BNB",236.914326269852,50,135,87.7460467666117
"6","BTC",61.8637169738418,62,266,14.4193626029255
"7","NGN",3.80625747168858,2,3,2.53750498112572
"8","BCH",3.1774921372974,5,7,2.26963724092671
"9","EUR",9.24789755231048,3,17,1.63198192099597
"10","BUSD",2.34250345496915,44,130,0.792847323220329
"11","HNT",0.678385067047066,2,2,0.678385067047066
"12","TUSD",1.93819479681732,5,16,0.605685874005412
"13","USDT",1.36822793006652,87,260,0.457830115060719
"14","USDC",1.30994217214781,5,16,0.409356928796189
"15","PAX",0.653364922334796,5,9,0.36298051240822
"16","ALICE",0.153644048760222,2,2,0.153644048760222
"17","GBP",0.506161496270383,2,8,0.126540374067596
"18","ZIL",0.142987068539276,5,6,0.119155890449397
"19","LIT",0.0969578336356451,2,2,0.0969578336356451
"20","DASH",0.240727176878024,2,5,0.0962908707512095
"21","ZEN",0.185521383485041,2,4,0.0927606917425206
"22","NEO",0.124500497242285,3,6,0.0622502486211424
"23","BTCST",0.0608813745919648,2,2,0.0608813745919648
"24","LINK",0.0909549290316136,5,8,0.0568468306447585
"25","QTUM",0.114382676950071,2,5,0.0457530707800284
"26","ETC",0.0741564847848717,3,5,0.044493890870923
"27","LTC",0.0814726824417019,4,11,0.0296264299788007
"28","UNFI",0.027058512195064,3,3,0.027058512195064
"29","CAKE",0.0452150733881106,2,4,0.0226075366940553
"30","ENJ",0.0278232172556856,4,5,0.0222585738045485
"31","WNXM",0.020003291498524,2,2,0.020003291498524
"32","RUB",0.0565035392752691,2,7,0.0161438683643626
"33","BNT",0.0302440225210207,2,4,0.0151220112605104
"34","BEL",0.0150862005842772,3,4,0.0113146504382079
"35","EOS",0.0219194740435816,4,8,0.0109597370217908
"36","DREP",0.00978360769135081,2,2,0.00978360769135081
"37","DODO",0.0089430775524276,2,2,0.0089430775524276
"38","DOGE",0.0099642393855524,6,8,0.0074731795391643
"39","CTK",0.00781319297930975,3,4,0.00585989473448231
"40","CRV",0.00762265261846506,2,3,0.00508176841231004
"41","ATOM",0.00813517827065132,3,5,0.00488110696239079
"42","XRP",0.018112098079826,4,15,0.00482989282128693
"43","OCEAN",0.00685653825306513,2,3,0.00457102550204342
"44","BAT",0.00836172322729699,2,5,0.0033446892909188
"45","NANO",0.00687991764951163,2,5,0.00275196705980465
"46","ICX",0.00401001355531759,3,5,0.00240600813319056
"47","GRT",0.0036193114068406,3,5,0.00217158684410436
"48","BZRX",0.00262409810608036,2,3,0.0017493987373869
"49","KAVA",0.00257776450965663,2,3,0.00171850967310442
"50","WAN",0.00161620776388799,3,4,0.00121215582291599
"51","THETA",0.00212629706918183,2,4,0.00106314853459091
"52","ONE",0.0021161030113368,2,4,0.0010580515056684
"53","CTSI",0.00138628064514875,3,4,0.00103971048386156
"54","COTI",0.00092633592875561,3,3,0.00092633592875561
"55","RLC",0.00115023357947724,3,4,0.000862675184607932
"56","CHZ",0.00215172773635212,2,5,0.000860691094540847
"57","ADA",0.00442882228783939,2,11,0.000805240415970798
"58","BAND",0.000778039224531968,3,3,0.000778039224531968
"59","CKB",0.000622623161501962,2,2,0.000622623161501962
"60","IOTA",0.00102109349626381,3,5,0.000612656097758286
"61","SFP",0.000559289529367124,2,2,0.000559289529367124
"62","VET",0.001212879910028,2,5,0.0004851519640112
"63","DATA",0.000880158732401354,2,4,0.000440079366200677
"64","XEM",0.000438082526299706,2,4,0.000219041263149853
"65","FIL",0.000289836149634991,2,4,0.000144918074817495
"66","ALPHA",0.000239784389740837,2,4,0.000119892194870419
"67","SXP",0.000226856618697838,3,6,0.000113428309348919
"68","HC",0.000168917547289677,2,3,0.000112611698193118
"69","BTS",0.00015337635758387,2,3,0.000102250905055913
"70","TRX",0.000239852763165051,4,12,7.9950921055017e-05
"71","ERD",7.75110402789055e-05,2,2,7.75110402789055e-05
"72","AE",0.000111299353565686,2,3,7.41995690437905e-05
"73","NEBL",9.75919382671015e-05,2,3,6.50612921780676e-05
"74","GTO",6.83053069115697e-05,3,4,5.12289801836773e-05
"75","FUN",6.66329572986444e-05,2,3,4.44219715324296e-05
"76","DLT",3.02480110176641e-05,2,3,2.01653406784427e-05
"77","REP",2.33711268972957e-05,2,3,1.55807512648638e-05
"78","ANKR",1.97738463987716e-05,2,3,1.31825642658477e-05
"79","BTT",1.94272686443823e-05,5,8,1.2142042902739e-05
"80","WIN",1.13352323194764e-05,3,4,8.50142423960726e-06
"81","TWT",7.90457604638028e-06,2,2,7.90457604638028e-06
"82","WRX",1.13909571000387e-05,2,4,5.69547855001935e-06
"83","WAVES",5.74501649449136e-06,2,5,2.29800659779654e-06
"84","AION",4.18118249369595e-06,2,4,2.09059124684797e-06
"85","YOYO",1.56186711736993e-06,2,3,1.04124474491329e-06
"86","LSK",5.21935181769863e-07,2,4,2.60967590884932e-07
